Lake	DIC	pH
ChildsPond	160	6.59
GoosePond	167	7.41
BurrPond	2416.4	8.71
BlackPond	2308.1	8.83
BlackPond	173.3	6.84
WhitePond	124.4	7.29
StorrsPond	1403	8.13
ReservoirPond	87.2	7.16
CumminsPond	136.4	7.26
IndianPond	89.6	7.49
LowerBakerPond	209.6	7.48
LakeArmington	108.2	7.21
PiscassicIcePond	917	7.6
BellamyReservoir	287	7.05
E.CarogaLake	670.1	7.7
CountyLineFlow	337.7	7.24
EchoPond	61.4	7.15
LittleHopePond	92.3	6.7
LakeMorey	1262.6	8.49
Wadley'sPond	124.4	6.61
N.ofHamiltonPond	346.3	4.41
LongPond	252.2	7.17
MirrorLake	777.8	7.33
SprucePond	70.4	5.2
CatamountPond	218.9	6.69
PurgatoryPond	138.8	5.9
ColcordPond	1382.6	7.22
PowwowPond	347	7.11
MillPond	716.6	7.17
PhillipsPond	399.8	7.22
HarveysLake	1790.9	8.37
PeachamPond	456.8	8.26
MarshfieldPond	286.1	7.71
SportsmanPond	108.2	6.22
DamonReservoir	130.4	6.73
CheshirePond	263.9	6.99
GustinPond	193.4	6.89
